2026-02-04 22:23:31,533 | INFO | metcal_api | admin user already present, skipping seed
2026-02-04 22:23:31,534 | INFO | metcal_api | database initialization complete
2026-02-04 22:25:24,134 | INFO | metcal_api | creating asset table
2026-02-04 22:25:24,135 | INFO | metcal_api | creating user table
2026-02-04 22:25:24,136 | INFO | metcal_api | seeding default admin user
2026-02-04 22:25:24,374 | INFO | metcal_api | database initialization complete
2026-02-04 22:29:22,520 | INFO | metcal_api | method=POST path=/api/token status=200 duration_ms=255.59 ip=127.0.0.1 user=anonymous
2026-02-04 22:31:52,517 | INFO | metcal_api | admin user already present, skipping seed
2026-02-04 22:31:52,517 | INFO | metcal_api | seeding sample asset records
2026-02-04 22:31:52,520 | INFO | metcal_api | database initialization complete
2026-02-04 22:32:41,409 | INFO | metcal_api | method=GET path=/api/assets status=401 duration_ms=0.24 ip=127.0.0.1 user=anonymous
2026-02-04 22:33:26,010 | INFO | metcal_api | method=GET path=/api/assets status=200 duration_ms=3.58 ip=127.0.0.1 user=admin
